Date,Time,Seller,Buyer,price,amountEnergy
24/01/1995,13:10:42,9717KH6,1111HJ60b,0.19,3.0122621938796937E7
24/01/1995,13:10:42,9717KH6,9733AB50,0.19,3.0122621938796937E7
24/01/1995,20:11:10,9717KH6,8748NJ373,0.19,3040597.543679999
24/01/1995,22:58:13,9717KH6,1111HJ60b,0.19,2.708202439511694E7
24/01/1995,22:58:13,9717KH6,9733AB50,0.19,2.708202439511694E7
24/01/1995,22:58:13,9717KH6,9733AB50,0.19,3040597.5436799973
25/01/1995,03:51:58,9717KH6,9471KN24,0.19,2130913.02599898
25/01/1995,03:51:58,9717KH6,1111HJ60b,0.19,3040597.5436799973
28/01/1995,12:18:51,9717KH6,8748NJ373,0.19,2.0746657334275555E7
28/01/1995,15:05:54,9717KH6,9733AB50,0.19,2.0746657334275555E7
28/01/1995,15:05:54,9717KH6,1111HJ60b,0.19,2.0746657334275555E7
28/01/1995,15:05:54,9717KH6,9471KN24,0.19,5019864.889550075
28/01/1995,19:59:39,9717KH6,1111HJ60b,0.19,5019864.889550075
28/01/1995,19:59:39,9717KH6,9733AB50,0.19,5019864.889550075
28/01/1995,19:59:39,9717KH6,1111HJ60b,0.19,2.3256589779050592E7
28/01/1995,19:59:39,9717KH6,9733AB50,0.19,1.3216859999950442E7
29/01/1995,00:53:25,9717KH6,1111HJ60b,0.19,1.3216859999950442E7
29/01/1995,03:00:08,9717KH6,8748NJ373,0.19,9267386.906657573
29/01/1995,05:47:10,9717KH6,9733AB50,0.19,2.100608424230526E7
29/01/1995,15:34:42,9717KH6,9733AB50,0.19,3022848.40918791
31/01/1995,18:39:01,9717KH6,8748NJ373,0.19,2.0403233586430483E7
31/01/1995,21:26:03,9717KH6,1111HJ60b,0.19,2.0403233586430483E7
31/01/1995,21:26:03,9717KH6,9471KN24,0.19,2678066.1376311257
01/02/1995,02:19:49,9717KH6,1111HJ60b,0.19,2678066.1376311257
01/02/1995,02:19:49,9717KH6,9471KN24,0.19,1829188.5590563966
01/02/1995,04:26:32,9717KH6,8748NJ373,0.19,1.0640619533072475E7
01/02/1995,07:13:34,9717KH6,1111HJ60b,0.19,7933425.49430161
01/02/1995,07:13:34,9717KH6,9733AB50,0.19,7933425.49430161
01/02/1995,07:13:34,9717KH6,9733AB50,0.19,1.4518753169563081E7
01/02/1995,07:13:34,9717KH6,9471KN24,0.19,629121.0601969166
