Date,Time,amount
30/01/1995,16:03:30,-2573450.859506041
30/01/1995,20:57:15,-2573450.859506041
31/01/1995,01:51:01,-7284773.739506041
31/01/1995,06:44:46,-786415.7616163967
31/01/1995,11:38:32,-786415.7616163967
31/01/1995,16:32:18,-786415.7616163967
31/01/1995,21:26:03,-786415.7616163967
01/02/1995,02:19:49,-1829188.5590563966
01/02/1995,07:13:34,-1829188.5590563966
01/02/1995,12:07:20,-1829188.5590563966
